year,trend
2019-8-7,103.4756595
2019-8-8,104.7022553
2019-8-9,106.6393217
2019-8-10,108.7095515
2019-8-11,110.2613987
2019-8-12,109.5914144
2019-8-13,108.8087408
2019-8-14,109.8697187
2019-8-15,109.331169
2019-8-16,108.8661869
2019-8-17,109.2314725
2019-8-18,109.3409164
2019-8-19,110.1130092
2019-8-20,111.3810811
2019-8-21,112.3777427
2019-8-22,112.7397098
2019-8-23,112.9072847
2019-8-24,113.4105712
2019-8-25,113.150818
2019-8-26,112.1246726
2019-8-27,110.8020847
2019-8-28,109.1056273
2019-8-29,110.54045
2019-8-30,106.4894515
2019-8-31,105.2692047
2019-9-1,104.4869526
2019-9-2,103.9064483
2019-9-3,103.6762314
2019-9-4,103.2993316
2019-9-5,102.3357479
2019-9-6,106.8150263
2019-9-7,106.0108405
2019-9-8,106.0669885
2019-9-9,108.266532
2019-9-10,107.4443203
2019-9-11,108.0580288
2019-9-12,107.1829198
2019-9-13,105.8701126
2019-9-14,106.4020389
2019-9-15,105.8115023
2019-9-16,103.7837569
2019-9-17,104.5270952
2019-9-18,104.07678
2019-9-19,102.978549
2019-9-20,102.4427376
2019-9-21,102.2633482
2019-9-22,102.2385737
2019-9-23,101.8845111
2019-9-24,101.5814517
2019-9-25,101.3546221
2019-9-26,101.6256201
2019-9-27,100.2632048
2019-9-28,102.2826792
2019-9-29,100.2154182
2019-9-30,100.1534669
2019-10-1,101.1630869
2019-10-2,101.0292508
2019-10-3,102.5258841
2019-10-4,103.3441407
2019-10-5,101.5295698
2019-10-6,105.3577546
2019-10-7,105.9282435
2019-10-8,105.20764
2019-10-9,107.9952162
2019-10-10,106.9281012
2019-10-11,107.2319085
2019-10-12,107.2211068
2019-10-13,106.3793873
2019-10-14,106.5871751
2019-10-15,106.5345258
2019-10-16,104.0921488
2019-10-17,103.3064411
2019-10-18,103.6328149
2019-10-19,103.5594597
2019-10-20,102.9858456
2019-10-21,102.5179232
2019-10-22,102.748451
2019-10-23,102.9734114
2019-10-24,103.0863724
2019-10-25,102.4314894
2019-10-26,102.0258191
2019-10-27,101.1706533
2019-10-28,101.0430871
2019-10-29,102.8202998
2019-10-30,100.8235889
2019-10-31,101.0041956
2019-11-1,101.9924672
2019-11-2,101.5083308
2019-11-3,102.6610158
2019-11-4,102.4124221
2019-11-5,99.51440525
2019-11-6,102.7315621
2019-11-7,103.9461881
2019-11-8,104.2193247
2019-11-9,107.2578064
2019-11-10,107.5738155
2019-11-11,109.1070711
2019-11-12,111.5747996
2019-11-13,111.6444099
2019-11-14,112.2217337
2019-11-15,113.5924269
2019-11-16,113.5514279
2019-11-17,115.5958417
2019-11-18,116.9604593
2019-11-19,117.1167168
2019-11-20,117.8857907
2019-11-21,118.1335008
2019-11-22,119.214026
2019-11-23,120.41251
2019-11-24,121.2389797
2019-11-25,122.5095944
2019-11-26,124.8586618
2019-11-27,126.6041004
2019-11-28,126.7495182
2019-11-29,122.0804319
2019-11-30,118.0019856
2019-12-1,113.7576057
2019-12-2,108.8494445
2019-12-3,105.3462791
2019-12-4,101.0110935
2019-12-5,99.34386816
2019-12-6,102.1974792
2019-12-7,103.1820117
2019-12-8,104.3610991
2019-12-9,107.9041576
2019-12-10,109.2670708
2019-12-11,111.7331841
2019-12-12,113.6874801
2019-12-13,114.1886289
2019-12-14,116.2623701
2019-12-15,118.9026192
2019-12-16,119.7311311
2019-12-17,120.6755098
2019-12-18,121.7694777
2019-12-19,122.7744232
2019-12-20,124.2649583
2019-12-21,124.8615407
2019-12-22,124.3926354
2019-12-23,123.8514115
2019-12-24,123.5861839
2019-12-25,123.1263696
2019-12-26,122.3817405
2019-12-27,121.4477598
2019-12-28,121.3040865
2019-12-29,120.0213523
2019-12-30,113.4799048
2019-12-31,108.3038455
2020-1-1,106.1401611
2020-1-2,102.0006439
2020-1-3,99.41231797
2020-1-4,97.17724232
2020-1-5,96.30309183
2020-1-6,103.0022409
2020-1-7,103.3413804
2020-1-8,103.1407284
2020-1-9,108.172703
2020-1-10,110.5086325
2020-1-11,111.6791438
2020-1-12,113.1317473
2020-1-13,112.3427859
2020-1-14,116.0225409
2020-1-15,116.3155199
2020-1-16,113.0346338
2020-1-17,110.5657368
2020-1-18,107.6817544
2020-1-19,104.189309
2020-1-20,100.1367754
2020-1-21,96.27122257
2020-1-22,93.0056694
2020-1-23,90.22439392
2020-1-24,87.94184044
2020-1-25,86.27457727
2020-1-26,84.45365961
2020-1-27,83.23365134
2020-1-28,81.88006695
2020-1-29,87.23154894
2020-1-30,86.50939064
2020-1-31,87.82278367
2020-2-1,90.98389283
2020-2-2,92.17234676
2020-2-3,95.48576518
2020-2-4,99.61268778
2020-2-5,97.60654988
2020-2-6,103.7112997
2020-2-7,103.4985893
2020-2-8,103.453254
2020-2-9,108.5527721
2020-2-10,103.5100507
2020-2-11,98.73289958
2020-2-12,94.0829248
2020-2-13,87.67532731
2020-2-14,85.53179849
2020-2-15,81.27237551
2020-2-16,74.55213901
2020-2-17,75.43698979
2020-2-18,75.71815279
2020-2-19,75.63611729
2020-2-20,74.8889153
2020-2-21,74.73361164
2020-2-22,74.96505916
2020-2-23,75.25921163
2020-2-24,76.0369202
2020-2-25,77.24244814
2020-2-26,78.36442934
2020-2-27,85.66179316
2020-2-28,85.74304985
2020-2-29,87.97172968
2020-3-1,91.49540335
2020-3-2,93.85236985
2020-3-3,97.02406057
2020-3-4,100.4334808
2020-3-5,99.87289276
2020-3-6,105.5354378
2020-3-7,105.3830649
2020-3-8,105.7173138
2020-3-9,109.8680668
2020-3-10,108.2513306
2020-3-11,106.127072
2020-3-12,102.1551533
2020-3-13,99.12351267
2020-3-14,99.16851352
2020-3-15,96.50423089
2020-3-16,91.65067067
2020-3-17,91.39131297
2020-3-18,91.56859039
2020-3-19,91.56272515
2020-3-20,91.81278128
2020-3-21,91.95922001
2020-3-22,92.34639673
2020-3-23,93.16555635
2020-3-24,93.95201218
2020-3-25,94.66457657
2020-3-26,95.83949704
2020-3-27,96.44699742
2020-3-28,97.33342945
2020-3-29,101.2552158
2020-3-30,98.2763377
2020-3-31,97.74545381
2020-4-1,96.86248737
2020-4-2,97.79257731
2020-4-3,99.21628254
2020-4-4,99.41211994
2020-4-5,99.20149418
2020-4-6,104.6797129
2020-4-7,105.3639442
2020-4-8,107.5986025
2020-4-9,110.7622037
2020-4-10,109.6296468
2020-4-11,109.9633491
2020-4-12,107.342231
2020-4-13,104.7987483
2020-4-14,105.143349
2020-4-15,104.2978152
2020-4-16,99.52090073
2020-4-17,99.08774017
2020-4-18,99.09267313
2020-4-19,99.47908746
2020-4-20,99.89948186
2020-4-21,99.37804166
2020-4-22,98.79858536
2020-4-23,99.913918
2020-4-24,100.2777912
